Song,Actual,TF-IDF,TF-IDF Error,Custom,Custom Err
Whiskey Girl,2004,1999,5,2006,2
Who Will Save Your Soul,1996,1991,5,1980,16
Who's Gonna Ride Your Wild Horses,1992,1997,5,1980,12
Why Don't You & I,2003,1998,5,2001,2
Wild World,1993,1998,5,1980,13
Window Shopper,2005,2000,5,2005,0
Wishing On A Star,1992,1997,5,1991,1
With You,2004,1999,5,1999,5
You Think You Know Her,1992,1997,5,1992,0
You Want This/70's Love Groove,1994,1999,5,1999,5
Your Body Is A Wonderland,2003,1998,5,2002,1
1 2 Step,2005,1999,6,2005,0
100 Years,2004,1998,6,1999,5
2 Legit 2 Quit,1992,1998,6,2003,11
8th World Wonder,2004,1998,6,1980,24
A Deeper Love/Pride (In The Name Of Love),1992,1998,6,1980,12
Accidentally In Love,2004,1998,6,1986,18
Achy Breaky Heart,1992,1998,6,2006,14
Addams Groove,1992,1998,6,1992,0
Again Tonight,1992,1998,6,1980,12
Ain't 2 Proud 2 Beg,1992,1998,6,1995,3
Alcohol,2005,1999,6,1980,25
All 4 Love,1992,1998,6,1980,12
All Falls Down,2004,1998,6,2001,3
All I Want,1992,1998,6,1984,8
Always The Last To Know,1992,1998,6,1980,12
Am I The Same Girl,1992,1998,6,1980,12
American Soldier,2004,1998,6,1983,21
Angel Baby,1992,1998,6,1994,2
Anything At All,1992,1998,6,1980,12
Are You Gonna Be My Girl,2004,1998,6,1980,24
Baby Hold On To Me,1992,1998,6,1997,5
Baby It's You,2004,1998,6,2004,0
Baby-Baby-Baby,1992,1998,6,1991,1
Back In The Day,1994,2000,6,1997,3
Back Then,2005,1999,6,2008,3
Back When,2004,1998,6,1993,11
Barrel Of A Gun,1997,2003,6,1980,17
Beauty And The Beast,1992,1998,6,2006,14
Big Chips,2004,1998,6,2006,2
Boot Scootin' Boogie,1992,1998,6,2008,16
Bossy,2006,2000,6,2006,0
Breakaway,2004,1998,6,2004,0
Breakin' My Heart (Pretty Brown Eyes),1992,1998,6,1992,0
Breaking The Habit,2004,1998,6,2004,0
Breathe Stretch Shake,2004,1998,6,2004,0
Broken,2004,1998,6,1991,13
Burn,2004,1998,6,2004,0
Can't Cry Hard Enough,1992,1998,6,1980,12
Can't Let Go,1992,1998,6,1980,12
Can't You See,1995,2001,6,1995,0
Cannonball,1994,2000,6,2005,11
Chains Around My Heart,1992,1998,6,1992,0
Charlene,2004,1998,6,2004,0
Children,1996,1990,6,1980,16
Church Of Your Heart,1992,1998,6,1980,12
Closer To Me,1992,1998,6,1985,7
Come & Talk To Me,1992,1998,6,1980,12
Come Again,1991,1997,6,1997,6
Constant Craving,1992,1998,6,2006,14
Crossover,1992,1998,6,1992,0
Damn I Wish I Was Your Lover,1992,1998,6,1983,9
Dare You To Move,2004,1998,6,1980,24
Days Go By,2004,1998,6,2004,0
Deeper And Deeper,1993,1999,6,1980,13
Desperately,2004,1998,6,1980,24
Diamonds And Pearls,1992,1998,6,1980,12
Diary,2004,1998,6,2004,0
Dip It Low,2004,1998,6,2004,0
Dip it Low,2004,1998,6,2004,0
Divine Thing,1992,1998,6,1986,6
Do It To Me,1992,1998,6,1992,0
Does She Love That Man?,1991,1997,6,1990,1
Don't Let The Sun Go Down On Me,1992,1998,6,2006,14
Don't Take Your Love Away,2004,1998,6,2004,0
Don't Tell Me,2004,1998,6,1980,24
Don't Treat Me Bad,1991,1997,6,1980,11
Dream Lover,1991,1997,6,1989,2
Dreams,2004,1998,6,1980,24
Drift Away,2003,1997,6,1980,23
Dude,2004,1998,6,2004,0
Emotional Rollercoaster,2003,1997,6,1993,10
End Of The Road,1992,1998,6,1992,0
Erotica,1992,1998,6,1992,0
Even Better Than The Real Thing,1992,1998,6,1980,12
Everything About You,1992,1998,6,1980,12
Everything Changes,1992,1998,6,1980,12
Everytime,2004,1998,6,1980,24
Faint,2003,1997,6,1980,23
Fallen,2004,1998,6,1997,7
Feelin' Way Too Damn Good,2004,1998,6,1985,19
Finally,1992,1998,6,1989,3
Firecracker,2007,2001,6,1980,27
Flying Without Wings,2003,1997,6,2003,0
Forever Love,1992,1998,6,1980,12
Free Your Mind,1992,1998,6,1992,0
Friday I'm In Love,1992,1998,6,1992,0
Gentle,1991,1997,6,1980,11
Getting' Some,2006,2000,6,2006,0
Girl Tonite,2005,1999,6,1987,18
Girls Lie Too,2004,1998,6,2004,0
Give It Up,1994,2000,6,1994,0
Give It Up,1992,1998,6,1980,12
Give Me One Reason,1996,1990,6,1980,16
Give Me That,2005,1999,6,1997,8
Give U My Heart,1992,1998,6,1980,12
Giving Him Something He Can Feel,1992,1998,6,1980,12
Good Enough,1992,1998,6,1983,9
Good For Me,1992,1998,6,1980,12
Hang In Long Enough,1991,1997,6,1993,2
Happy People,2004,1998,6,2004,0
Hate It Or Love It,2005,1999,6,2005,0
Have You Ever Needed Someone So Bad,1992,1998,6,1980,12
Hazard,1992,1998,6,1992,0
Heard 'Em Say,2005,1999,6,2005,0
Hearts Don't Think (They Feel),1992,1998,6,1983,9
Heat Of The Moment,1991,1997,6,2003,12
Helena (So Long & Goodnight),2005,1999,6,2005,0
Here For The Party,2004,1998,6,2004,0
Here We Go,2005,1999,6,2001,4
Here Without You,2003,1997,6,1980,23
Hey D.J.,1994,2000,6,1994,0
Hey D.J.,1994,2000,6,1994,0
Hey Mr. D.J.,1993,1999,6,2004,11
High,1992,1998,6,1992,0
Higher Than Hope,1991,1997,6,1996,5
Hold On My Heart,1992,1998,6,1980,12
Home Sweet Home,1992,1998,6,1980,12
Honey Love,1992,1998,6,2005,13
Hope,2005,1999,6,2005,0
Hotel,2004,1998,6,2004,0
How About That,1992,1998,6,1989,3
How Am I Doin',2004,1998,6,1980,24
How Do You Talk To An Angel,1992,1998,6,1980,12
How To Dance,1991,1997,6,1991,0
Human Touch/Better Days,1992,1998,6,1992,0
Humpin' Around,1992,1998,6,2005,13
I Believe,2003,1997,6,1980,23
I Can't Make You Love Me,1992,1998,6,1992,0
I Go Back,2004,1998,6,2004,0
I Hate Everything,2004,1998,6,2004,0
I Love You Period,1993,1999,6,1987,6
I Love Your Smile,1992,1998,6,1991,1
I Melt,2003,1997,6,1980,23
I Wanna Be Your Girl,1992,1998,6,1987,5
I Wanna Do It All,2004,1998,6,2004,0
I Wanna Love You,1992,1998,6,1980,12
I Want To Live,2004,1998,6,2004,0
I Will Always Love You,1992,1998,6,1980,12
I Will Remember You,1992,1998,6,1984,8
I Wish The Phone Would Ring,1992,1998,6,1990,2
I Wonder Why,1991,1997,6,1980,11
I'd Die Without You,1992,1998,6,1992,0
I'll Be By Your Side,1991,1997,6,1980,11
I'll Be There,1992,1998,6,1992,0
I'll Be There For You/You're All I Need To Get By,1995,2001,6,1995,0
I'll Be There For You/You're All I Need To Get By,1995,2001,6,1995,0
I'll Get By,1992,1998,6,1980,12
I'll Never Let You Go,1991,1997,6,1988,3
I'm N Luv (Wit A Stripper),2006,2000,6,2006,0
I'm Still In Love With You,2004,1998,6,2004,0
I'm The One You Need,1992,1998,6,1980,12
I've Been Waiting For You,1991,1997,6,1980,11
I've Got A Lot To Learn About Love,1992,1998,6,1980,12
Icky Thump,2007,2001,6,2007,0
If I Ever Fall In Love,1992,1998,6,2008,16
If You Asked Me To,1992,1998,6,1980,12
If You Ever Stop Loving Me,2004,1998,6,2004,0
If You Go Away,1992,1998,6,1980,12
In My Daughter's Eyes,2004,1998,6,1980,24
In My Dreams,1992,1998,6,2013,21
Informer,1993,1999,6,1993,0
Innocent Child,1992,1998,6,1980,12
Invisible,2004,1998,6,2004,0
Is It Good To You,1992,1998,6,1991,1
It Ain't Over 'Til It's Over,1991,1997,6,1980,11
It Was A Good Day,1993,1999,6,1993,0
It's Goin' Down,2006,2000,6,2006,0
Jesus He Knows Me,1992,1998,6,1992,0
Jump Around,1992,1998,6,1992,0
Just A Lil Bit,2005,1999,6,2005,0
Just A Little While,2004,1998,6,1996,8
Just Another Day,1992,1998,6,1980,12
Just For Tonight,1992,1998,6,1980,12
Just Take My Heart,1992,1998,6,1992,0
Keep Coming Back,1991,1997,6,1980,11
Keep It Comin',1992,1998,6,1980,12
Keep On Walkin',1992,1998,6,1980,12
Keep The Faith,1992,1998,6,1990,2
Knocks Me Off My Feet,1997,1991,6,1980,17
Layla,1992,1998,6,1983,9
Leave (Get Out),2004,1998,6,2004,0
Let Me Go,2005,1999,6,1980,25
Let's Be Us Again,2004,1998,6,1980,24
Let's Get Rocked,1992,1998,6,1992,0
Letters From Home,2004,1998,6,1990,14
Life Is A Highway,1992,1998,6,1980,12
Lift Me Up,1992,1998,6,1980,12
Lights And Sounds,2006,2000,6,1993,13
Like A Stone,2003,1997,6,2003,0
Lip Gloss,2007,2001,6,2007,0
Little Miss Can't Be Wrong,1992,1998,6,2012,20
Little Moments,2004,1998,6,2006,2
Live And Learn,1992,1998,6,1985,7
Live And Let Die,1992,1998,6,1980,12
Living In Fast Forward,2006,2000,6,2004,2
London Bridge,2006,2000,6,2008,2
Lose My Breath,2004,1998,6,2004,0
Lot Of Leavin' Left To Do,2005,1999,6,2005,0
Love Makes Things Happen,1991,1997,6,1991,0
Love Me,1992,1998,6,1980,12
Make It Happen,1992,1998,6,1980,12
Make Love Like A Man,1992,1998,6,1992,0
MakeDamnSure,2006,2000,6,1980,26
Me Myself And I,2004,1998,6,1980,24
Mercy Mercy Me (The Ecology)/I Want You,1991,1997,6,1991,0
Miles Away,1991,1997,6,1980,11
Mind Playing Tricks On Me,1992,1998,6,1991,1
Missing You Now,1992,1998,6,1998,6
Mockingbird,2005,1999,6,2005,0
Money Don't Matter 2 Night,1992,1998,6,2005,13
Moneytalks,1991,1997,6,1988,3
More Than Ever,1991,1997,6,2000,9
More Than Words,1991,1997,6,1980,11
Move Any Mountain,1992,1998,6,1992,0
My Baby,2004,1998,6,2004,0
My Boo,2004,1998,6,1980,24
My Immortal,2004,1998,6,2004,0
My Kinda Party,2010,2004,6,2010,0
My Lovin' (You're Never Gonna Get It),1992,1998,6,1992,0
My Lovin' (You're Never Gonna Get It),1992,1998,6,1989,3
My Place,2004,1998,6,2004,0
Nasty Girl,2006,2000,6,2006,0
Naughty Girl,2004,1998,6,1980,24
Never Gonna Let You Down,1991,1997,6,1991,0
No Matter What,1991,1997,6,1980,11
No Ordinary Love,1993,1999,6,1980,13
No Son Of Mine,1992,1998,6,1991,1
Not Enough Time,1992,1998,6,1992,0
Nothing Broken But My Heart,1992,1998,6,1980,12
Nothing Else Matters,1992,1998,6,1980,12
Nothing On But The Radio,2004,1998,6,1980,24
November Rain,1992,1998,6,1981,11
Nu Nu,1992,1998,6,1992,0
Numb,2004,1998,6,2003,1
Ocean Avenue,2004,1998,6,1980,24
On The Way Down,2004,1998,6,2010,6
On The Way Up,1991,1997,6,1997,6
One,1992,1998,6,1992,0
One Call Away,2004,1998,6,2004,0
One More Try,1991,1997,6,1980,11
One More Try,1991,1997,6,1980,11
One Thing,2004,1998,6,2004,0
Over And Over,2004,1998,6,2004,0
Paint Me A Birmingham,2004,1998,6,1992,12
People Everyday,1992,1998,6,1992,0
Perfect,2003,1997,6,2003,0
Place In This World,1991,1997,6,2006,15
Play,2005,1999,6,2005,0
Please Don't Go,1992,1998,6,2013,21
Pop Champagne,2009,2003,6,2008,1
Pour It Up,2013,2007,6,2013,0
Promise,2006,2000,6,1980,26
Rain On Me,2003,1997,6,2003,0
Read Your Mind,2004,1998,6,1980,24
Real Love,1992,1998,6,1992,0
Regulate,1994,2000,6,1994,0
Regulate,1994,2000,6,1994,0
Rescue Me,1991,1997,6,2015,24
Restless Heart,1992,1998,6,1980,12
Ride The Wind,1991,1997,6,1991,0
Ring The Alarm,2006,2000,6,2004,2
Roses,2004,1998,6,2004,0
Rump Shaker,1992,1998,6,1992,0
Run Away,1995,2001,6,1980,15
Run It!,2005,1999,6,2005,0
Save The Best For Last,1992,1998,6,2005,13
Say I,2006,2000,6,2012,6
She Talks To Angels,1991,1997,6,2003,12
She Thinks She Needs Me,2004,1998,6,2004,0
She's Playing Hard To Get,1992,1998,6,1980,12
Six Feet Deep,1993,1999,6,1993,0
Slow Dance (Hey Mr. DJ),1992,1998,6,1980,12
Smells Like Teen Spirit,1992,1998,6,1991,1
Somebody,2004,1998,6,2014,10
Someday,1991,1997,6,2002,11
Someone To Hold,1992,1998,6,1992,0
Somethin' To Ride To (Fonky Expedition),1994,2000,6,1994,0
Something To Talk About,1991,1997,6,1980,11
Stay,1992,1998,6,1995,3
Straight To Your Heart,1991,1997,6,1980,11
Strike It Up,1991,1997,6,2007,16
Take My Breath Away,2004,1998,6,2004,0
Take This Heart,1992,1998,6,1980,12
Take Time,1992,1998,6,1992,0
Talk About Our Love,2004,1998,6,2004,0
Tears In Heaven,1992,1998,6,1980,12
Tell Me What You Want Me To Do,1992,1998,6,1980,12
Temple Of Love,1991,1997,6,1991,0
That's What It's All About,2004,1998,6,2004,0
The Dream Is Still Alive,1991,1997,6,1980,11
The First Cut Is The Deepest,2004,1998,6,1980,24
The First Time,1991,1997,6,1980,11
The Hand That Feeds,2005,1999,6,2005,0
The More You Ignore Me The Closer I Get,1994,2000,6,1997,3
The Morning Papers,1993,1999,6,1993,0
The Perfect Drug,1997,2003,6,1980,17
The Reason,2004,1998,6,1980,24
The Star Spangled Banner,2001,1995,6,2004,3
The Truth,1991,1997,6,1983,8
The Way I Are,2007,2001,6,2015,8
The Way I Feel About You,1992,1998,6,1991,1
The World,2006,2000,6,1983,23
There She Goes,1991,1997,6,1997,6
These Boots Are Made For Walkin',2005,1999,6,2005,0
Thinkin' Back,1992,1998,6,1992,0
This Love,2004,1998,6,1980,24
To Be With You,1992,1998,6,1980,12
To Love Somebody,1992,1998,6,1992,0
Too Blind To See It,1992,1998,6,1980,12
Too Funky,1992,1998,6,1980,12
Toxic,2004,1998,6,2004,0
TRUE,2005,1999,6,1980,25
Truth Is,2005,1999,6,1980,25
Truth It,2005,1999,6,1980,25
Two Princes,1993,1999,6,1993,0
U And Dat,2006,2000,6,2006,0
Uhh Ahh,1992,1998,6,1992,0
Under The Bridge,1992,1998,6,2007,15
Until Your Love Comes Back Around,1992,1998,6,1980,12
Vertigo,2004,1998,6,2004,0
Very Special,1993,1999,6,1993,0
Voices That Care,1991,1997,6,1991,0
Waiting For Love,1991,1997,6,1980,11
Walking On Broken Glass,1992,1998,6,1980,12
Wanna Get To Know You,2004,1998,6,2004,0
Wannagirl,1993,1999,6,2005,12
We Got A Love Thang,1992,1998,6,2015,23
We Got A Love Thang,1992,1998,6,1980,12
Welcome To My Life,2004,1998,6,1980,24
What About Your Friends,1992,1998,6,1992,0
What Goes Around Comes Around,1992,1998,6,1980,12
What You Know,2006,2000,6,2006,0
What You Waiting For?,2004,1998,6,2005,1
When I Think About Cheatin',2005,1999,6,2013,8
White Flag,2004,1998,6,1980,24
Who You'd Be Today,2005,1999,6,1980,25
Whole Wide World,1990,1996,6,1990,0
Why,1992,1998,6,1980,12
Why Me Baby?,1992,1998,6,1992,0
Will You Marry Me?,1992,1998,6,1990,2
With Every Beat Of My Heart,1990,1996,6,1996,6
You Can't Hide Beautiful,2003,1997,6,2001,2
You Gotta Believe,1992,1998,6,2003,11
You Know How We Do It,1994,2000,6,1994,0
You Lied To Me,1992,1998,6,1992,0
You Won't See Me Cry,1992,1998,6,1980,12
(If There Was) Any Other Way,1991,1998,7,1980,11
1 Thing,2005,1998,7,1996,9
A Bay Bay,2007,2000,7,2005,2
A Better Love,1991,1998,7,1980,11
A Day In My Life (Without You),1991,1998,7,1980,11
A Real Fine Place To Start,2005,1998,7,2004,1
After The Rain,1991,1998,7,1996,5
After The Summer's Gone,1991,1998,7,1980,11
Again,2005,1998,7,2010,5
All I Need Is You,1991,1998,7,2012,21
All Jacked Up,2005,1998,7,2015,10
All The Man That I Need,1991,1998,7,1980,11
All True Man,1991,1998,7,1980,11
Almost,2005,1998,7,2000,5
American Baby,2005,1998,7,1980,25
Anything But Mine,2005,1998,7,1982,23
Anything Is Possible,1991,1998,7,1992,1
Around The Way Girl,1991,1998,7,1997,6
As Good As I Once Was,2005,1998,7,2000,5
Awful Beautiful Life,2005,1998,7,1991,14
B.Y.O.B.,2005,1998,7,2005,0
Baby Baby,1991,1998,7,1980,11
Baby Girl,2005,1998,7,1983,22
Baby Got Back,1992,1999,7,2004,12
Baby I'm Back,2005,1998,7,1998,7
Badd,2005,1998,7,2005,0
Be Yourself,2005,1998,7,2010,5
Beautiful Soul,2005,1998,7,1980,25
Because Of You,2005,1998,7,1980,25
Beep,2006,1999,7,1980,26
Behind These Hazel Eyes,2005,1998,7,2003,2
Belly Dancer (Bananza),2005,1998,7,2006,1
Best Of You,2005,1998,7,1980,25
Better Days,2005,1998,7,1980,25
Better Life,2005,1998,7,1980,25
Beverly Hills,2005,1998,7,2007,2
Bitter Tears,1991,1998,7,1980,11
Bless The Broken Road,2005,1998,7,1980,25
Blowing Kisses In The Wind,1991,1998,7,1980,11
Bring 'Em Out,2005,1998,7,2004,1
C'mon And Get My Love,1990,1997,7,1990,0
Call It Poison,1991,1998,7,2001,10
Can't Forget You,1991,1998,7,1980,11
Can't Truss It,1991,1998,7,2001,10
Candy,1991,1998,7,1991,0
Candy Shop,2005,1998,7,2006,1
Cater 2 U,2005,1998,7,2005,0
Caught Up,2005,1998,7,2005,0
Chasin' The Wind,1991,1998,7,1980,11
Close To You,1990,1997,7,1990,0
Come A Little Closer,2005,1998,7,2002,3
Come Back To Me,1990,1997,7,1997,7
Come With Me,1998,1991,7,1980,18
Coming Out Of The Dark,1991,1998,7,1999,8
Couple Days Off,1991,1998,7,1991,0
Cradle Of Love,1990,1997,7,1990,0
Crazy,1991,1998,7,1991,0
Cream,1991,1998,7,1980,11
Cry Baby/Piece Of My Heart,2005,1998,7,1984,21
Cry For Help,1991,1998,7,1980,11
Dangerous,1990,1997,7,1989,1
Daughters,2005,1998,7,1990,15
Dazzey Duks,1993,2000,7,1993,0
Diamonds From Sierra Leone,2005,1998,7,2001,4
Disappear,1991,1998,7,2004,13
Disco Inferno,2005,1998,7,2004,1
Do Anything,1991,1998,7,1991,0
Do You Want Me,1991,1998,7,1991,0
Does Anybody Really Fall In Love Anymore?,1991,1998,7,2001,10
Don't Bother,2005,1998,7,1998,7
Don't Cry,1991,1998,7,1980,11
Don't Forget About Us,2005,1998,7,2005,0
Don't Hold Back Your Love,1991,1998,7,1980,11
Don't Matter,2007,2000,7,2007,0
Don't Phunk With My Heart,2005,1998,7,2005,0
Don't Want To Be A Fool,1991,1998,7,2013,22
Dre Day,1993,2000,7,1993,0
Dreams,2005,1998,7,2005,0
Easy Come Easy Go,1991,1998,7,1980,11
Elevate My Mind,1991,1998,7,1991,0
Emotions,1991,1998,7,1980,11
Enter Sandman,1991,1998,7,2003,12
Every Heartbeat,1991,1998,7,1991,0
Everybody Plays The Fool,1991,1998,7,1991,0
Everyotherday,1991,1998,7,1980,11
Everytime Tha Beat Drop,2006,1999,7,2005,1
Exclusivity,1991,1998,7,2004,13
Face The Music,1991,1998,7,1980,11
Fading Like A Flower (Every Time You Leave),1991,1998,7,1980,11
Fast Cars And Freedom,2005,1998,7,2013,8
Felt Good On My Lips,2010,2003,7,2010,0
Fireman,2005,1998,7,2005,0
Foolish Games/You Were Meant For Me,1997,1990,7,1980,17
For You,1991,1998,7,1980,11
Forever My Lady,1991,1998,7,1980,11
Free Yourself,2005,1998,7,1997,8
Get A Leg Up,1991,1998,7,2006,15
Get Right,2005,1998,7,1989,16
Gett Off,1991,1998,7,1991,0
Girl,2005,1998,7,1980,25
Girl,2006,1999,7,2006,0
Girlfight,2005,1998,7,2005,0
Give A Little Bit,2005,1998,7,1980,25
Goin' Crazy,2005,1998,7,1980,25
Good Vibrations,1991,1998,7,1991,0
Got A Love For You,1991,1998,7,1980,11
Groovy Train,1991,1998,7,1991,0
Gypsy Woman (She's Homeless),1991,1998,7,1980,11
Hard To Handle,1991,1998,7,1990,1
Heart Of Stone,1990,1997,7,1980,10
Heartbreak Station,1991,1998,7,1980,11
Here And Now,1990,1997,7,1980,10
Here I Am (Come And Take Me),1991,1998,7,1980,11
Here We Are,1990,1997,7,1980,10
Here We Go,1991,1998,7,1991,0
Here We Go,1991,1998,7,1991,0
Hey Donna,1991,1998,7,1991,0
High Enough,1991,1998,7,1980,11
Hips Don't Lie,2006,1999,7,2006,0
Hold You Tight,1991,1998,7,1980,11
Hollaback Girl,2005,1998,7,2009,4
Honky Tonk Badonkadonk,2006,1999,7,2005,1
How Can I Ease The Pain,1991,1998,7,1980,11
How Much Is Enough,1991,1998,7,1991,0
How To Deal,2005,1998,7,1980,25
Hung Up,2005,1998,7,1980,25
I Can't Dance,1992,1999,7,2003,11
I Can't Wait Another Minute,1991,1998,7,1980,11
I Don't Know Anybody Else,1991,1998,7,1980,11
I Don't Wanna Cry,1991,1998,7,1982,9
I Don't Want To Be,2005,1998,7,2004,1
I Like The Way (The Kissing Game),1991,1998,7,1980,11
I Miss You,2004,1997,7,2004,0
I Should Have Cheated,2005,1998,7,2012,7
I Touch Myself,1991,1998,7,1991,0
I Wanna Sex You Up,1991,1998,7,2002,11
I Won't Tell,2008,2001,7,2008,0
I'll Be There,1991,1998,7,1980,11
I'll Be Your Shelter,1990,1997,7,1980,10
I'll Do 4 U,1991,1998,7,1991,0
I'll Give All My Love To You,1991,1998,7,1980,11
I'm So Hood,2007,2000,7,2007,0
I'm So Hood,2007,2000,7,2007,0
I'm So Paid,2008,2001,7,2008,0
I'm Sprung,2005,1998,7,1987,18
I've Been Thinking About You,1991,1998,7,1991,0
If It's Lovin' That You Want,2005,1998,7,1980,25
If We Were A Movie,2006,1999,7,1980,26
If You Needed Somebody,1991,1998,7,1991,0
Irreplaceable,2006,1999,7,2006,0
It Hit Me Like A Hammer,1991,1998,7,1986,5
It Never Rains (In Southern California),1991,1998,7,1980,11
It's A Shame (My Sister),1991,1998,7,1991,0
It's Like That,2005,1998,7,2005,0
It's So Hard To Say Goodbye To Yesterday,1991,1998,7,1991,0
Joyride,1991,1998,7,1984,7
Just A Touch Of Love,1991,1998,7,1980,11
Just Like You,1991,1998,7,1980,11
Just The Girl,2005,1998,7,2013,8
Just Want To Hold You,1991,1998,7,1980,11
Justify My Love,1991,1998,7,1990,1
Karma,2005,1998,7,2005,0
Karma,2005,1998,7,2004,1
Kickin' It,1992,1999,7,1980,12
Lady,2005,1998,7,2005,0
Let It Go,2007,2000,7,2007,0
Let It Go,2008,2001,7,1980,28
Let Me Hold You,2005,1998,7,2005,0
Let Me Love You,2005,1998,7,1980,25
Let The Beat Hit 'EM,1991,1998,7,1980,11
Let The Beat Hit 'Em,1991,1998,7,1980,11
Let's Chill,1991,1998,7,1980,11
Let's Talk About Sex,1991,1998,7,1993,2
Life Goes On,1991,1998,7,1980,11
Like A Boy,2007,2000,7,2001,6
Like Toy Soldiers,2005,1998,7,2005,0
Like We Never Loved At All,2005,1998,7,1980,25
Like You,2005,1998,7,2005,0
Listen To Your Heart,2005,1998,7,1992,13
Live For Loving You,1991,1998,7,1980,11
Live Like You Were Dying,2005,1998,7,2004,1
Lonely,2005,1998,7,2005,0
Lonely No More,2005,1998,7,1980,25
Look What You've Done,2005,1998,7,1980,25
Losing My Religion,1991,1998,7,1991,0
Love And Understanding,1991,1998,7,1980,11
Love Child,1990,1997,7,1990,0
Love Desire,1991,1998,7,1987,4
Love Is A Wonderful Thing,1991,1998,7,1991,0
Love Of A Lifetime,1991,1998,7,1980,11
Love On A Rooftop,1991,1998,7,1991,0
Love Will Lead You Back,1990,1997,7,1980,10
Love Will Never Do (Without You),1991,1998,7,1980,11
Love...Thy Will Be Done,1991,1998,7,1980,11
Make Her Feel Good,2005,1998,7,2005,0
Make Me Better,2007,2000,7,2007,0
Making Memories Of Us,2005,1998,7,2005,0
Maneater,2006,1999,7,1980,26
Meant To Live,2004,1997,7,1998,6
Miracle,1990,1997,7,1990,0
Miracle,1991,1998,7,1980,11
Mississippi Girl,2005,1998,7,2005,0
More Than Words,2005,1998,7,1980,25
Mr. Brightside,2005,1998,7,2005,0
Must Be Doin' Somethin' Right,2005,1998,7,2004,1
Must Be Nice,2005,1998,7,2005,0
My Body Says Yes,1991,1998,7,2008,17
My Name Is Not Susan,1991,1998,7,1981,10
Mysterious Ways,1992,1999,7,1991,1
Naked,2005,1998,7,2005,0
Nights Like This,1991,1998,7,1991,0
Nobody's Home,2005,1998,7,1980,25
Nothin' To Hide,1990,1997,7,1980,10
Nothin' To Lose,2005,1998,7,1991,14
O,2005,1998,7,2005,0
One And Only Man,1990,1997,7,1980,10
One Of Us,2010,2003,7,2010,0
One Wish,2006,1999,7,1999,7
Only Time Will Tell,1991,1998,7,1991,0
Only U,2005,1998,7,2002,3
Ooh!,2003,1996,7,1980,23
Opposites Attract,1990,1997,7,1989,1
P.A.S.S.I.O.N.,1991,1998,7,2002,11
Party Like A Rockstar,2007,2000,7,2012,5
Photograph,2005,1998,7,2003,2
Pink,1998,1991,7,1980,18
Policy Of Truth,1990,1997,7,2006,16
Pon de Replay,2005,1998,7,2014,9
Possession,1990,1997,7,1980,10
Pump Up The Jam,1990,1997,7,1980,10
Rain Is A Good Thing,2010,2003,7,2010,0
Real Real Real,1991,1998,7,1980,11
Remedy,1992,1999,7,1985,7
Remember When,2004,1997,7,2003,1
Rich Girl,2005,1998,7,2005,0
Right Here Right Now,1991,1998,7,1980,11
Ring My Bell,1991,1998,7,1991,0
Romantic,1991,1998,7,2005,14
Running Back To You,1991,1998,7,1991,0
Rush Rush,1991,1998,7,1980,11
S.O.S.,2007,2000,7,2012,5
Same Girl,2007,2000,7,2007,0
Save Some Love,1991,1998,7,1991,0
Scars,2005,1998,7,2005,0
See The Lights,1991,1998,7,1980,11
Selling The Drama,1994,2001,7,1994,0
Sending All My Love,1990,1997,7,1980,10
Sensitivity,1991,1998,7,1988,3
Set Adrift On Memory Bliss,1991,1998,7,1991,0
Set The Night To Music,1991,1998,7,1980,11
Settle For A Slowdown,2006,1999,7,2006,0
Sexy Can I,2008,2001,7,2008,0
Shake It Off,2005,1998,7,2005,0
She Will Be Loved,2004,1997,7,1980,24
She's Everything,2006,1999,7,2006,0
Shelter Me,1991,1998,7,1991,0
Shiny Happy People,1991,1998,7,1980,11
Shoop,1993,2000,7,1993,0
Shot Of Poison,1991,1998,7,1986,5
Signs,2005,1998,7,2005,0
Signs,1991,1998,7,1993,2
Silent Lucidity,1991,1998,7,1991,0
Since U Been Gone,2005,1998,7,2000,5
Single Ladies (Put A Ring On It),2008,2001,7,2008,0
Sleeping Satellite,1993,2000,7,2013,20
Slow Down,2005,1998,7,2005,0
Smile,2007,2000,7,2003,4
Some Cut,2005,1998,7,2005,0
Something Got Me Started,1991,1998,7,1980,11
Something In My Heart,1991,1998,7,1992,1
Something To Be Proud Of,2005,1998,7,2005,0
Sometimes She Cries,1990,1997,7,2001,11
Speed Of Sound,2005,1998,7,2005,0
Spending My Time,1992,1999,7,1980,12
Stay,1992,1999,7,1980,12
Stay With Me (Brass Bed),2005,1998,7,1980,25
Stickwitu,2005,1998,7,2005,0
Stone Cold Gentleman,1991,1998,7,1995,4
Street Of Dreams,1991,1998,7,1980,11
Sugar (Gimme Some),2005,1998,7,2005,0
Sugar We're Goin' Down,2005,1998,7,2005,0
Summer Love,2007,2000,7,1980,27
Summer Nights,2005,1998,7,2005,0
Summer Rain,1990,1997,7,1990,0
Sunday Morning,2005,1998,7,2005,0
Switch,2005,1998,7,2005,0
Tbe Best Things In Life Are Free,1992,1999,7,1991,1
Tell Me,2006,1999,7,2006,0
Temptation,1991,1998,7,1991,0
Tempted To Touch,2004,1997,7,1980,24
Tender Kisses,1991,1998,7,2005,14
The Diary Of Jane,2006,1999,7,1980,26
