SONG,YEAR,VERBS,CONJUNCTION,ADJECTIVE,PRONOUN,NUMBER,NOUN,TO,PREPOSITION,ADVERB,INTERJECTION,OTHER,FOREIGN,INTERROGATIVE,SIMPLE NARC,COMPLEX NARC,,,
Somebody's Out There,1986,35,5,3,30,1,34,6,23,60,1,39,0,4,-1,-1.533333333,,,
Somebody's Watching Me,1984,28,4,3,27,2,12,2,9,19,0,9,0,1,7,1.814814815,,,
Someday,1996,37,4,15,17,3,34,2,8,16,0,28,0,7,-10,-14.11764706,,,
Someday,1987,82,9,15,59,3,50,9,26,42,1,52,0,4,1,0.491525424,,,
Someday,1991,58,8,28,41,19,71,4,29,49,7,59,0,4,5,2.43902439,,,
Someday,2004,68,10,13,40,0,41,3,25,65,0,39,0,18,-7,-10.85,,,
Someday,1999,51,15,10,32,2,31,4,18,40,0,27,0,7,6,3.375,,,
Someday Out Of The Blue,2000,21,5,8,20,0,25,1,18,23,0,18,0,2,-6,-8.4,,,
Someday, Someway,1982,50,2,11,42,0,33,8,19,38,2,21,0,4,13,7.119047619,,
Someone,1997,87,9,23,72,8,117,10,56,20,0,52,0,7,8,2.444444444,,,
Someone Belonging To Someone,1983,72,12,8,49,2,60,13,40,21,0,47,0,13,10,3.673469388,,,
Someone Could Lose A Heart Tonight,1982,33,7,10,15,0,47,2,14,11,0,39,0,2,1,0.533333333,,,
Someone Like You,2011,73,20,11,71,0,38,4,34,48,2,23,0,4,5,2.112676056,,,
Someone That I Used To Love,1980,58,4,17,51,0,26,20,40,34,0,22,0,6,9,4.235294118,,,
Someone To Call My Lover,2001,113,19,33,64,4,135,10,43,58,0,38,0,2,22,9.28125,,,
Someone To Hold,1992,40,11,9,46,0,39,4,19,19,1,17,0,2,18,10.17391304,,,
Someone To Love,1995,76,4,10,46,0,63,46,32,14,0,5,0,3,15,8.152173913,,,
Someone To Love You,2002,100,7,12,63,1,76,19,41,38,2,44,0,15,4,1.777777778,,,
Someone You Used To Know,1998,62,12,4,56,0,30,13,25,19,1,20,0,6,-12,-16.71428571,,,
Somethin' 'Bout A Truck,2012,24,8,15,9,2,74,4,43,8,0,43,0,0,1,0.333333333,,,
Somethin' 4 Da Honeyz,1995,61,21,21,48,11,87,10,44,24,2,50,0,5,8,2.833333333,,,
Somethin' Bad,2014,41,5,25,13,0,57,13,28,11,0,31,0,2,4,1.538461538,,,
Somethin' Bout You Baby I Like,1980,7,1,0,5,0,3,2,2,0,0,4,0,0,0,0,,,
Somethin' To Ride To (Fonky Expedition),1994,68,18,36,45,3,152,18,65,22,0,75,0,5,8,4.622222222,,,
Something,2003,57,2,10,60,0,32,2,27,5,0,22,0,0,17,8.216666667,,,
Something About You,1986,33,6,15,18,0,61,3,30,22,0,40,0,2,-1,-1.611111111,,,
Something Got Me Started,1991,66,12,1,101,0,19,5,33,24,4,69,0,1,11,4.792079208,,,
Something Happened On The Way To Heaven,1990,82,29,24,91,0,43,2,30,28,0,40,0,14,2,0.857142857,,,
Something In My Heart,1991,41,7,6,36,2,49,6,18,19,0,27,0,3,10,6.388888889,,,
Something In The Water,2014,53,11,11,33,1,76,4,49,20,0,46,0,3,11,4.333333333,,,
Something In Your Eyes,1993,76,17,21,70,0,55,5,28,15,0,28,0,9,8,2.628571429,,,
Something In Your Eyes,1993,76,17,21,70,0,55,5,28,15,0,28,0,9,8,2.628571429,,,
Something Like That,1999,46,14,21,38,2,80,3,31,25,0,47,0,5,6,1.105263158,,,
Something More,2005,82,10,25,31,3,60,7,26,29,0,40,0,3,7,2.032258065,,,
Something Real (Inside Me/Inside You),1987,54,5,22,32,0,47,9,23,17,5,43,0,5,-8,-10.25,,,
Something So Strong,1987,24,1,14,14,0,31,2,7,16,0,16,0,1,-4,-5.142857143,,,
Something To Be Proud Of,2005,83,15,36,51,3,111,15,53,23,0,58,0,6,5,2.156862745,,,
Something To Believe In,1990,70,17,26,49,1,86,13,40,20,1,42,0,4,14,4.571428571,,,
Something To Grab For,1983,82,2,5,71,0,30,16,39,10,3,11,0,19,29,20.42253521,,,
Something To Talk About,1991,64,0,15,34,0,72,18,29,31,0,23,0,4,-1,-1.617647059,,,
Something's Always Wrong,1994,26,8,7,20,0,17,2,21,25,5,13,0,0,-3,-4.8,,,
Something's Goin' On,1993,118,12,19,65,1,55,20,37,32,2,24,0,16,0,0,,,
Something's Goin' On,1993,118,12,19,65,1,55,20,37,32,2,24,0,16,0,0,,,
Sometimes,1999,85,13,12,73,1,40,11,37,53,0,19,0,1,5,2.465753425,,,
Sometimes A Fantasy,1980,42,6,19,37,0,38,11,18,38,0,36,0,3,10,4.864864865,,,
Sometimes I Rhyme Slow,1992,81,18,25,63,5,89,5,36,25,0,35,0,7,10,2.222222222,,,
Sometimes Love Just Ain't Enough,1992,66,18,8,52,1,40,8,18,42,0,26,0,12,4,2,,,
Sometimes She Cries,1990,32,10,16,34,2,49,1,25,25,6,31,0,9,2,0.117647059,,,
Somewhere,1986,17,5,4,10,0,26,3,13,17,0,15,0,0,-5,-5.5,,,
Somewhere Down The Road,1982,47,7,10,38,0,30,7,26,34,0,26,0,3,2,0.894736842,,,
Somewhere I Belong,2003,109,12,24,64,0,62,11,32,34,0,38,0,5,12,2.4375,,,
Somewhere In My Car,2014,55,19,6,57,0,75,2,33,36,6,26,0,3,17,7.754385965,,,
Somewhere Only We Know,2011,67,9,6,45,0,33,5,23,25,1,27,0,11,-8,-10.48888889,,,
Somewhere Only We Know,2005,68,9,11,47,0,31,7,24,29,2,25,0,12,-4,-5.276595745,,,
Somewhere Out There,1987,30,5,14,13,1,23,6,22,29,0,19,0,6,-5,-7.307692308,,,
Somewhere Out There,1987,30,5,14,13,1,23,6,22,29,0,19,0,6,-5,-7.307692308,,,
Somewhere Out There,2002,72,6,9,51,0,53,10,38,33,1,35,0,1,0,0,,,
Somewhere Over The Rainbow,2006,19,2,6,6,0,29,2,18,13,2,24,0,6,2,1,,,
Somewhere With You,2011,56,11,11,58,2,67,6,55,40,0,34,0,4,12,6.413793103,,,
Son Of A Gun,2001,146,20,24,118,2,137,7,53,41,3,51,0,19,18,9.915254237,,,
Songbird,1987,30,6,5,29,0,28,6,14,11,0,20,0,7,9,5.586206897,,,
Songbird,1987,30,6,5,29,0,28,6,14,11,0,20,0,7,9,5.586206897,,,
Soon As I Get Home,1996,90,7,13,79,0,52,12,28,26,3,32,0,10,6,2.202531646,,,
Sorry,2008,61,14,27,58,0,39,13,9,17,4,25,0,6,5,1.724137931,,,
Sorry,2015,72,8,27,64,4,43,13,29,51,11,24,0,0,4,1.125,,,
Sorry 2004,2004,56,19,49,47,21,103,3,63,21,0,50,0,3,4,1.361702128,,,
Sorry For Party Rocking,2012,68,8,24,38,1,116,3,61,13,13,48,0,8,-2,-2.842105263,,,
Sorry, Blame It On Me,2007,149,27,47,139,2,113,20,122,54,0,108,0,11,33,18.51798561,,
Soul City,1987,58,8,9,20,3,71,6,26,14,0,28,0,12,-4,-5.2,,,
Soul Kiss,1985,67,5,5,50,0,59,9,23,15,2,19,0,2,16,6.4,,,
Soul Provider,1989,52,2,11,56,0,71,4,23,12,5,22,0,3,8,2.142857143,,,
Soul Survivor,2005,102,7,38,88,2,230,20,78,60,1,81,0,8,12,6.954545455,,,
Soul To Squeeze,1993,62,4,15,57,0,66,8,23,22,4,24,3,10,21,9.210526316,,,
Soulja Girl,2007,61,7,15,63,1,96,7,23,17,1,36,0,1,18,7.142857143,,,
Souls,1983,51,8,30,27,17,97,5,42,4,0,58,0,0,0,0,,,
South Side,2001,45,10,8,28,0,39,6,17,13,0,33,0,1,-3,-3.857142857,,,
Southern Cross,1982,72,15,11,42,1,72,6,32,16,2,41,0,9,1,0.5,,,
Southern Girl,2013,34,11,19,19,1,63,2,19,13,0,27,0,5,2,1.052631579,,,
Southern Hospitality,2001,103,22,32,74,7,267,3,66,12,0,89,0,14,20,12.43243243,,,
Southern Voice,2009,46,4,18,27,1,90,7,28,12,0,18,0,1,4,0.592592593,,,
Southside,2004,110,14,37,108,1,149,7,69,43,4,65,0,11,16,9.333333333,,,
Sowing The Seeds Of Love,1989,77,13,27,40,1,167,14,72,11,0,94,0,2,0,0,,,
Space Age Love Song,1983,19,4,2,18,0,18,0,14,0,0,3,0,0,3,1,,,
Space Jam,1997,103,15,19,53,4,168,15,51,21,3,61,0,6,7,2.509433962,,,
Space Jam,1997,103,15,19,53,4,168,15,51,21,3,61,0,6,7,2.509433962,,,
Spackavellie,1998,60,15,11,61,1,75,5,38,28,2,44,0,7,6,0.590163934,,,
Spanish Eddie,1985,57,4,2,34,0,112,2,37,5,1,37,0,4,-2,-3.647058824,,,
Spark,1998,65,10,15,54,2,35,4,19,60,0,22,0,6,3,1.388888889,,,
Sparks Fly,2010,85,12,13,64,0,60,4,43,33,0,38,0,13,25,15.625,,,
Speak Now,2010,81,20,25,56,0,82,4,35,36,6,53,0,13,9,4.821428571,,,
Special Lady,1980,68,10,35,49,0,95,6,62,23,0,64,0,1,15,8.571428571,,,
Speed,2003,55,7,15,51,7,48,10,28,20,0,39,0,12,12,5.411764706,,,
Speed Of Sound,2005,79,11,11,42,0,50,5,39,13,0,51,0,13,2,0.80952381,,,
Spend My Life,1991,20,0,3,23,0,18,1,12,5,2,5,0,1,7,3.956521739,,,
Spend My Life With You,1999,55,14,18,75,3,65,3,38,39,0,52,0,10,18,9.6,,,
Spending My Time,1992,71,5,14,46,0,53,7,31,19,0,33,0,3,18,10.95652174,,,
Spice Of Life,1983,36,6,16,9,1,84,8,31,13,0,49,0,3,-2,-2.888888889,,,
Spice Up Your Life,1997,54,11,41,62,0,180,24,48,6,0,55,0,2,9,4.935483871,,,
Spies Like Us,1986,41,2,6,33,2,53,1,35,18,2,37,0,16,-15,-20,,,
Spirit Of A Boy, Wisdom Of A Man,1999,25,14,12,15,0,56,4,33,14,0,33,0,3,0,0,,
Spirits In The Material World,1982,4,0,0,2,0,5,1,2,1,0,3,0,0,-1,-1.5,,,
Splackavellie,1998,60,15,11,61,1,75,5,38,28,2,44,0,7,6,0.590163934,,,
Splash Waterfalls,2004,162,29,27,144,9,147,60,31,25,0,107,0,12,40,12.22222222,,,
Spotlight,2009,51,10,23,76,6,172,10,57,16,4,47,0,5,8,1.578947368,,,
Spotlight,2008,80,6,30,48,1,50,6,33,24,0,46,0,3,6,3.25,,,
Spring Love (Come Back To Me),1988,105,19,10,94,2,65,13,23,25,1,28,0,5,8,4.595744681,,,
Springsteen,2012,55,11,14,46,3,73,8,34,22,0,37,0,10,3,1.239130435,,,
Sprinkle Me,1995,81,9,38,74,9,179,6,60,26,3,62,0,5,32,21.18918919,,,
Sprinkle Me,1995,81,9,38,74,9,179,6,60,26,3,62,0,5,32,21.18918919,,,
Spy In The House Of Love,1988,43,8,3,35,2,51,6,25,5,0,23,0,2,2,0.228571429,,,
Square Biz,1981,137,18,55,90,2,282,34,85,26,0,71,0,17,19,10.34444444,,,
St. Elmo's Fire (Man In Motion),1985,60,8,24,53,0,97,1,33,21,0,56,0,10,13,4.660377358,,,
Stacy's Mom,2003,73,10,12,61,0,96,2,41,19,0,40,0,1,3,0.491803279,,,
Stages,1986,41,6,4,20,0,15,4,12,10,0,7,0,2,3,1.65,,,
Stand,1993,89,3,6,46,1,41,15,28,11,2,14,0,14,-3,-4.369565217,,,
Stand,1989,91,0,10,41,0,70,11,36,32,0,29,0,27,0,0,,,
Stand,2007,65,4,9,44,2,42,5,28,21,4,32,0,7,0,0,,,
Stand Back,1983,73,2,8,56,4,43,6,39,35,0,36,0,4,17,7.892857143,,,
Stand Beside Me,1999,52,8,14,45,7,41,9,31,17,1,22,0,8,19,8.444444444,,,
Stand By Me,1986,22,5,13,18,0,17,1,19,10,0,13,0,2,5,3.611111111,,,
Stand By Me,1985,47,8,9,36,0,35,4,32,14,1,31,0,1,12,8,,,
Stand By Me,1980,32,5,14,26,0,16,2,22,12,0,12,0,1,11,8.461538462,,,
Stand Up,2003,130,12,20,89,7,152,9,75,47,0,84,0,16,-1,-1.494382022,,,
Stand Up (Kick Love Into Motion),1993,89,15,13,48,0,86,18,45,20,0,41,0,4,9,3.9375,,,
Standing Still,2002,4,0,0,2,0,5,1,2,1,0,3,0,0,-1,-1.5,,,
Stanky Legg,2009,98,14,18,74,0,133,4,28,23,0,56,0,15,8,2.162162162,,,
Staring At The Sun,1997,50,10,25,23,5,49,9,41,31,1,37,0,6,4,2.086956522,,,
Starry Eyed Surprise,2002,74,8,21,38,1,203,34,25,21,2,77,0,2,1,0.5,,,
Stars,1992,60,0,9,50,1,39,3,28,13,0,27,0,7,6,3.24,,,
Stars Are Blind,2006,61,17,31,46,1,69,0,34,23,9,44,0,8,7,4.108695652,,,
Stars On 45 III (A Tribute To Stevie Wonder),1982,94,14,16,78,2,100,10,47,18,6,61,0,3,8,2.974358974,,,
Starships,2012,48,7,15,30,1,78,5,23,13,1,30,0,3,7,3.733333333,,,
Start Me Up,1981,63,0,16,55,0,39,2,20,27,0,40,0,2,10,5.636363636,,,
Start Me Up/Livin' On A Prayer,2010,41,8,12,34,0,115,4,33,17,0,42,0,2,12,4.941176471,,,
Start Of Something New,2006,37,7,25,36,0,97,7,48,28,2,34,1,2,13,5.416666667,,,
Start The Commotion,2001,127,1,15,26,0,155,0,26,74,3,52,0,0,0,0,,,
Started From The Bottom,2013,98,3,36,43,1,103,3,57,81,0,76,0,5,9,4.186046512,,,
Starting Over Again,1980,41,11,9,18,4,45,0,21,26,0,34,0,9,0,0,,,
State Of Grace,2012,46,24,22,27,1,53,1,18,16,0,29,0,0,-2,-2.962962963,,,
State Of Independence,1982,57,2,11,44,0,100,8,34,8,2,61,0,3,5,1.704545455,,,
State Of Shock,1984,4,0,0,2,0,5,1,2,1,0,3,0,0,-1,-1.5,,,
State Of The Heart,1985,34,6,5,30,2,59,3,49,20,0,51,0,0,0,0,,,
Stay,1994,94,5,8,65,1,45,7,25,29,4,11,0,6,13,7.8,,,
Stay,2013,98,16,6,80,0,37,14,22,19,0,33,0,1,7,3.2375,,,
Stay,1992,85,5,19,54,0,62,8,32,46,1,28,0,1,-3,-4.555555556,,,
Stay,2013,37,8,7,31,1,22,3,15,25,2,17,0,4,7,4.741935484,,,
Stay,1992,32,4,10,27,1,27,2,30,12,0,12,0,2,10,6.296296296,,,
Stay,2007,100,13,14,65,4,44,14,27,28,1,29,0,16,9,4.707692308,,,
Stay (I Missed You),1994,73,18,11,63,1,24,9,25,31,1,22,0,6,4,1.396825397,,,
Stay Fly,2005,130,19,46,105,8,188,7,80,27,1,85,0,13,21,8.6,,,
Stay Gone,2003,61,3,14,38,0,28,4,24,17,0,26,0,8,0,0,,,
Stay The Night,1987,78,7,14,24,0,59,5,20,21,0,53,0,4,3,1.625,,,
Stay The Night,1984,52,5,7,46,4,56,11,27,18,0,40,0,5,1,0.543478261,,,
Stay The Night,2000,114,13,10,79,1,113,2,40,46,0,49,0,2,17,9.898734177,,,
Stay The Night,1999,114,13,10,79,1,113,2,40,46,0,49,0,2,17,9.898734177,,,
Stay The Night,2014,35,1,6,20,1,29,2,11,3,1,19,0,3,-1,-1.45,,,
Stay The Same,1999,74,4,15,58,0,24,8,16,18,0,29,0,5,0,0,,,
Stay With Me,2014,37,7,13,26,0,23,7,21,13,3,19,0,1,6,3.461538462,,,
Stay With Me (Brass Bed),2005,49,8,13,26,0,44,3,26,33,1,28,0,1,4,2,,,
Stay With Me Tonight,1984,86,15,16,80,1,62,13,33,37,12,31,0,5,28,17.15,,,
Staying Together,1988,77,9,10,75,5,60,2,40,36,7,30,0,6,14,8.4,,,
Staying With It,1981,55,7,5,42,0,44,0,28,31,0,27,0,1,10,3.333333333,,,
Steady Mobbin',2010,109,37,39,96,6,236,11,69,47,0,95,0,9,10,3.75,,,
Steal Away,1980,38,3,2,37,0,12,1,10,28,0,10,0,15,-4,-5.513513514,,,
Steal My Girl,2014,59,1,18,44,8,38,30,17,19,0,17,0,2,12,3.818181818,,,
Steal My Sunshine,1999,49,8,23,44,4,49,4,37,15,0,19,0,3,17,11.59090909,,,
Steal The Night,1981,17,3,5,16,1,34,1,11,11,1,18,0,0,-1,-1.8125,,,
Steam,1993,74,9,22,58,1,83,11,36,10,2,44,0,6,9,2.948275862,,,
Steamy Windows,1990,28,7,16,11,0,71,0,18,10,0,31,0,0,0,0,,,
Steelo,1996,4,0,0,2,0,5,1,2,1,0,3,0,0,-1,-1.5,,,
Step By Step,1981,64,11,21,51,5,58,3,33,16,0,24,0,3,0,0,,,
Step By Step,1990,49,5,12,46,5,107,9,40,37,0,14,0,1,11,5.97826087,,,
Step By Step,1997,55,8,13,35,0,88,9,46,12,0,16,0,4,7,2,,,
Step In The Name Of Love,2003,117,12,49,56,4,236,12,145,61,3,90,0,7,13,7.428571429,,,
Steppin' Out,1982,21,8,11,14,0,51,3,34,9,0,32,0,2,0,0,,,
Stereo Hearts,2011,78,10,18,72,1,61,15,41,22,9,35,0,3,20,11.66666667,,,
Stereo Love,2011,63,5,4,59,1,42,10,20,15,3,25,0,5,8,3.93220339,,,
Stereo Love,2011,117,8,5,102,3,63,16,28,21,3,42,0,9,16,7.529411765,,,
Stick Around,1986,48,10,4,36,2,14,12,19,27,5,15,0,10,3,1.5,,,
Stick To The Status Quo,2006,99,23,19,55,7,206,27,42,47,0,85,2,8,2,0.727272727,,,
Stickwitu,2005,55,8,6,56,1,31,2,29,19,0,20,0,6,8,4.714285714,,,
Still,1980,35,5,4,42,0,18,1,15,32,0,10,0,0,8,3.238095238,,,
Still A G Thang,1998,93,29,64,85,6,257,18,96,24,1,91,0,20,26,12.84705882,,,
Still Fly,2002,79,25,30,47,9,199,3,56,18,0,83,0,6,12,6.638297872,,,
Still In Saigon,1982,44,16,13,27,5,53,3,29,16,0,33,0,4,6,1.333333333,,,
Still In The Game,1982,45,7,9,29,0,40,14,27,32,0,31,0,5,0,0,,,
Still Into You,2013,31,9,6,42,3,40,6,35,25,0,32,0,2,-2,-3.095238095,,,
Still Not A Player,1998,116,23,47,73,3,164,16,56,45,0,73,0,9,6,2.301369863,,,
Still Right Here In My Heart,1981,22,7,5,21,0,30,5,10,24,2,11,0,3,1,0.571428571,,,
Still They Ride,1982,17,4,13,10,0,34,1,12,7,0,16,0,0,0,0,,,
Stingy,2002,119,20,34,101,5,62,21,35,29,0,50,0,16,19,8.653465347,,,
Stir It Up,1985,83,6,10,47,0,60,20,32,27,0,35,0,5,3,0.319148936,,,
Stitch By Stitch,2011,50,9,7,46,0,35,1,18,35,0,13,0,3,22,14.82608696,,,
Stitches,2015,94,19,12,65,0,68,7,58,22,1,24,0,1,21,10.33846154,,,
Stole,2002,91,4,23,47,7,123,8,46,75,3,64,0,0,0,0,,,
Stolen,2007,39,6,13,29,1,33,1,11,6,0,17,0,0,2,1.034482759,,,
Stolen Dance,2015,31,3,3,31,0,20,1,19,20,0,16,0,0,2,0.774193548,,,
Stomp,1980,117,4,24,84,2,163,10,51,29,0,68,0,21,0,0,,,
Stone Cold,1982,38,12,14,41,0,77,3,34,26,1,21,0,0,4,1.268292683,,,
Stone Cold Gentleman,1991,107,22,39,92,1,178,11,63,28,0,61,0,9,10,4.673913043,,,
Stone Love,1987,37,6,21,30,1,133,2,35,13,0,39,0,1,0,0,,,
Stoner,2014,45,5,13,54,4,118,1,56,17,0,43,0,2,6,1.222222222,,,
Stop,1998,104,10,21,59,0,68,1,29,41,4,53,0,7,3,1.525423729,,,
Stop And Stare,2008,42,9,7,25,1,26,6,10,18,1,16,0,4,3,1.32,,,
Stop Doggin' Me Around,1983,36,3,7,31,0,28,4,16,10,0,9,0,1,6,2.709677419,,,
Stop Draggin' My Heart Around,1981,51,0,12,34,0,40,11,21,12,2,29,0,3,8,4.235294118,,,
Stop In The Name Of Love,1983,39,2,5,42,0,42,6,27,10,1,22,0,1,8,4.380952381,,,
Stop This Game,1980,68,2,19,42,0,56,1,21,24,5,48,0,0,-2,-3.714285714,,,
Stop To Love,1987,122,13,11,54,1,68,18,19,24,0,33,0,7,1,0.592592593,,,
Stop! In The Name Of Love/Free Your Mind,2010,64,8,10,63,0,96,3,47,26,1,35,0,3,17,8.634920635,,,
Story Of My Life,2013,63,9,16,68,0,83,5,63,10,1,45,0,1,18,6.088235294,,,
Straght Outta Compton,2015,126,30,35,70,1,183,9,82,32,0,101,0,16,10,3.571428571,,,
Straight From The Heart,1983,4,0,0,2,0,5,1,2,1,0,3,0,0,-1,-1.5,,,
Straight From The Heart,1981,38,3,4,28,1,32,3,19,12,0,28,0,3,0,0,,,
Straight To The Bank,2007,101,8,19,57,8,135,12,47,39,1,63,0,67,4,0.771929825,,,
Straight To Your Heart,1991,45,10,10,44,0,50,9,17,27,2,28,0,6,5,1.818181818,,,
Straight Up,1989,127,16,34,87,0,58,10,30,53,8,50,0,4,38,26.64367816,,,
Stranded,1990,63,2,7,52,0,32,2,25,26,0,20,0,3,28,21.53846154,,,
Stranded (Haiti Mon Amour),2010,66,8,12,51,1,78,7,42,31,3,39,0,3,-15,-19.41176471,,,
Strange But True,1988,48,20,29,33,1,52,7,22,27,0,33,0,3,2,0.424242424,,,
Strange Clouds,2011,68,9,29,62,1,117,5,48,28,3,66,0,3,-3,-4.548387097,,,
Strange Currencies,1995,46,6,19,45,0,37,11,6,8,3,33,0,5,8,4.8,,,
Strangelove,1988,63,13,19,52,0,65,16,21,13,0,32,0,11,8,3.692307692,,,
Stranger,1981,49,0,8,22,0,30,3,14,13,0,18,0,7,4,2.545454545,,,
Stranger In My House,1983,38,5,1,42,1,48,9,27,28,0,19,0,2,12,4.571428571,,,
Stranger In My House,2001,108,12,6,107,0,70,16,42,19,0,78,0,12,33,20.97196262,,,
Stranger In Town,1984,37,4,21,33,1,74,3,42,12,0,51,0,9,2,0.363636364,,,
Strawberries,1998,64,10,34,60,4,117,6,61,24,4,67,0,6,13,5.85,,,
Stray Cat Strut,1983,32,7,20,18,0,69,3,32,2,0,26,0,0,4,0.888888889,,,
Street Dreams,1997,106,13,36,51,17,248,13,97,14,0,86,0,10,9,4.588235294,,,
Street Of Dreams,1991,72,7,7,56,0,74,16,41,21,0,28,0,15,0,0,,,
Streets Of Philadelphia,1994,28,5,5,28,1,33,2,18,7,0,20,0,1,8,3.428571429,,,
Strike It Up,1991,64,6,8,51,0,85,6,38,11,0,37,0,10,11,5.176470588,,,
Strip,1984,53,3,31,43,0,60,1,52,23,0,38,0,3,-5,-7.325581395,,,
Strip,2012,68,8,12,72,1,78,4,38,18,0,42,0,2,7,3.597222222,,,
Strip,2012,68,8,12,72,1,78,4,38,18,0,42,0,2,7,3.597222222,,,
Strip It Down,2015,71,5,26,73,1,83,9,40,34,0,28,0,4,10,3.97260274,,,
Stroke You Up,1994,130,9,15,118,0,104,3,85,85,5,46,0,9,7,3.440677966,,,
Strong Enough,1995,45,5,13,37,0,20,11,7,19,0,15,0,3,13,8.432432432,,,
Stronger,2001,32,8,16,42,0,36,1,24,31,0,15,0,0,14,5,,,
Stronger,2007,185,9,47,153,3,144,9,110,164,0,66,0,11,0,0,,,
Stronger (What Doesn't Kill You),2012,92,6,48,64,0,59,4,21,38,0,22,0,21,8,3.375,,,
Stronger Than Before,1981,95,2,17,88,0,31,31,56,80,1,23,0,2,21,8.829545455,,,
Strung Out,1984,34,10,10,33,2,70,10,32,24,1,22,0,6,5,3.333333333,,,
Strut,1984,63,6,6,65,0,83,1,57,11,1,29,0,12,11,3.892307692,,,
Stuck Like Glue,2010,121,15,44,83,5,71,1,55,71,1,40,0,7,23,13.57831325,,,
Stuck On A Feeling,2015,105,5,21,79,0,119,3,55,34,0,63,6,12,19,8.17721519,,,
Stuck On You,1984,33,4,8,33,0,39,3,30,14,0,21,0,1,11,7,,,
Stuck With You,1986,60,13,30,40,1,30,14,30,33,1,25,0,0,-5,-7,,,
Studio,2014,53,8,16,40,0,91,7,31,19,0,40,0,3,5,2.25,,,
Stunt 101,2003,173,9,25,122,11,186,33,71,48,0,77,0,30,22,12.62295082,,,
Stuntin' Like My Daddy,2006,125,30,26,118,29,240,2,85,23,2,87,0,17,32,21.69491525,,,
Stupid Boy,2012,56,16,21,55,0,35,4,14,16,1,27,0,9,0,0,,,
Stupid Boy,2007,66,19,24,67,0,61,5,20,21,1,30,0,9,2,0.47761194,,,
Stupid Girl,1996,46,2,21,46,1,27,2,15,3,0,16,0,3,0,0,,,
Stupid Girls,2006,71,5,27,52,3,115,8,46,26,3,65,0,6,18,8.307692308,,,
Stutter,2001,99,1,19,87,0,80,8,33,27,3,27,0,19,14,7.24137931,,,
Style,2015,73,19,23,59,0,68,1,52,32,1,27,0,6,-14,-20.6440678,,,
Successful,2009,159,38,42,118,2,178,20,84,69,1,87,1,10,18,3.966101695,,,
Suddenly,1985,30,7,13,18,2,44,6,24,20,0,18,0,1,-2,-3.111111111,,,
Suddenly,1981,46,6,9,35,0,42,12,19,20,0,26,0,4,7,3.2,,,
Suddenly I See,2007,109,6,21,86,0,65,25,19,45,0,51,0,17,10,1.976744186,,,
Suddenly Last Summer,1983,26,8,11,26,8,21,1,7,34,0,15,0,0,7,2.153846154,,,
Suds In The Bucket,2004,46,12,18,26,4,77,6,28,28,0,69,0,5,0,0,,,
Suffocate,2008,90,8,13,123,0,56,13,54,30,0,44,0,23,37,20.45528455,,,
Suga Suga,2003,107,13,56,84,0,135,4,38,49,2,42,0,32,7,4.333333333,,,
Sugar,2009,95,7,88,116,3,207,6,55,43,0,59,0,3,35,23.23275862,,,
Sugar,2015,101,12,28,86,4,90,2,30,26,5,45,0,8,18,8.162790698,,,
Sugar (Gimme Some),2005,80,20,45,112,2,189,7,85,59,0,95,0,2,40,17.85714286,,,
Sugar Daddy,1989,41,11,18,44,0,104,2,13,9,2,23,0,4,7,3.659090909,,,
Sugar Don't Bite,1984,102,2,8,66,0,100,14,35,35,12,65,0,12,20,11.81818182,,,
Sugar Free,1987,34,11,21,33,4,111,7,43,15,3,24,0,5,11,6.666666667,,,
Sugar Hill,1995,78,14,42,39,1,146,15,61,33,0,50,0,3,9,4.615384615,,,
Sugar Walls,1985,42,2,7,44,0,66,2,20,18,0,16,0,5,10,4.318181818,,,
Sugar, We're Goin' Down,2005,74,20,25,51,8,99,5,52,28,0,60,0,4,1,0.235294118,,
Suicide Blonde,1990,49,3,22,41,0,64,3,11,4,1,21,0,1,2,0.585365854,,,
Suit & Tie,2013,96,18,42,72,0,120,5,44,20,2,71,0,6,13,7.041666667,,,
Sukiyaki,1995,44,10,13,43,0,31,4,22,30,0,13,0,4,16,10.79069767,,,
Sukiyaki,1981,34,9,13,34,0,27,2,22,25,1,13,0,2,10,6.176470588,,,
Summer,2014,9,2,4,11,0,11,1,6,7,0,6,0,3,0,0,,,
Summer Girls,1999,129,43,27,99,9,242,6,93,20,0,77,0,16,13,4.333333333,,,
Summer Love,2007,100,9,16,80,3,100,12,50,24,0,72,0,9,7,4.4625,,,
Summer Nights,2005,125,34,38,71,7,209,18,88,35,0,98,0,11,1,0.450704225,,,
Summer Nights,2009,50,4,21,33,0,109,3,37,15,5,31,0,7,-1,-1.454545455,,,
Summer Of '69,1985,4,0,0,2,0,5,1,2,1,0,3,0,0,-1,-1.5,,,
Summer Rain,1990,53,3,5,51,0,76,0,41,16,2,37,0,4,6,2.823529412,,,
Summergirls,1988,29,4,6,28,1,42,3,21,14,0,27,0,0,5,2.5,,,
Summertime,1991,84,17,24,38,4,181,23,71,38,0,75,0,9,4,1.578947368,,,
Summertime,2006,26,12,30,12,7,74,0,44,8,1,44,0,5,-3,-3.75,,,
Summertime,2008,64,14,22,78,0,77,1,50,27,0,52,0,4,2,1.051282051,,,
Summertime Sadness,2013,41,0,21,41,1,106,4,24,22,11,30,0,0,12,7.317073171,,,
