@relation lyrics383.small

@attribute song string
@attribute numWords numeric
@attribute distinctWRatio numeric
@attribute word_1 string
@attribute word_2 string
@attribute word_3 string
@attribute word_4 string
@attribute word_5 string
@attribute word_6 string
@attribute word_7 string
@attribute word_8 string
@attribute word_9 string
@attribute word_10 string
@attribute phrase2_1 string
@attribute phrase2_2 string
@attribute phrase2_3 string
@attribute phrase2_4 string
@attribute phrase2_5 string
@attribute phrase2_6 string
@attribute phrase2_7 string
@attribute phrase2_8 string
@attribute phrase2_9 string
@attribute phrase2_10 string
@attribute phrase3_1 string
@attribute phrase3_2 string
@attribute phrase3_3 string
@attribute phrase3_4 string
@attribute phrase3_5 string
@attribute phrase3_6 string
@attribute phrase3_7 string
@attribute phrase3_8 string
@attribute phrase3_9 string
@attribute phrase3_10 string
@attribute pos_verb numeric
@attribute pos_conj numeric
@attribute pos_adj numeric
@attribute pos_pronoun numeric
@attribute pos_number numeric
@attribute pos_noun numeric
@attribute pos_to numeric
@attribute pos_prep numeric
@attribute pos_adv numeric
@attribute pos_interj numeric
@attribute pos_other numeric
@attribute pos_foreign numeric
@attribute pos_wh numeric
@attribute narcScore numeric
@attribute period {early1980s,mid1980s,late1980s,early1990s,mid1990s,late1990s,early2000s,mid2000s,late2000s,early2010s,mid2010s}
@attribute rank {top10,top20,top30,top40,top50,notTop}

@data
"Don't Let Him Go",239.0,0.3598326359832636,"him","don't","let","go","a","it","take","he","he's","but","don't let","let him","him go","go don't","take it","a chance","chance to","to grow","grow take","it easy","don't let him","let him go","him go don't","go don't let","chance to grow","to grow take","grow take it","take it easy","it easy take","easy take it",71,9,10,44,0,40,4,13,24,1,19,0,4,1955.07427894113,early1980s,top30
"Don't Let Him Know",198.0,0.42424242424242425,"him","don't","know","you","let","oh","what's","your","you're","to","don't let","let him","him know","know don't","don't show","show him","him what's","what's in","in your","stayed just","don't let him","let him know","him know don't","know don't show","don't show him","show him what's","him what's in","what's in your","just a little","a little too",66,3,4,40,2,18,4,17,20,9,10,0,5,1953.5341312639746,early1980s,top40
"Don't Let It End",257.0,0.4163424124513619,"you","don't","it","let","end","to","i'm","no","i","this","don't let","let it","it end","you don't","no no","end this","this way","i'm begging","begging you","end i'm","don't let it","let it end","you don't let","it end this","end this way","i'm begging you","begging you don't","it end i'm","end i'm begging","no no no",77,4,6,50,0,43,9,17,23,0,25,0,3,1952.650778018515,early1980s,top10
"Don't Let Me Get Me",259.0,0.3667953667953668,"me","i","don't","my","be","wanna","you","a","i'm","the","wanna be","don't let","let me","me get","get me","me i'm","i wanna","be somebody","somebody else","i'm my","don't let me","let me get","me get me","i wanna be","wanna be somebody","be somebody else","get me i'm","me i'm my","i'm my own","my own worst",59,1,21,45,0,55,4,16,35,0,19,0,4,1964.0377618251548,early2000s,top10
"Don't Let The Sun Go Down On Me",154.0,0.6298701298701299,"i","the","me","and","to","of","you","but","life","on","of your","the sun","down on","on me","i","i can't","else","your darkness","darkness all","all my","down on me","i can't","i can't light","can't light no","light no more","no more of","more of your","of your darkness","your darkness all","darkness all my",35,9,8,30,0,24,5,17,10,0,15,0,1,1968.9514359629304,early1990s,top10
"Don't Let it End",257.0,0.4163424124513619,"you","don't","it","let","end","to","i'm","no","i","this","don't let","let it","it end","you don't","no no","end this","this way","i'm begging","begging you","end i'm","don't let it","let it end","you don't let","it end this","end this way","i'm begging you","begging you don't","it end i'm","end i'm begging","no no no",77,4,6,50,0,43,9,17,23,0,25,0,3,1968.0638506555074,early1980s,top10
"Don't Lie",418.0,0.4138755980861244,"i","and","the","lie","you","my","da","to","know","ooh","and i","i lie","lie and","ooh ooh","i did","kno kno","ba da","i don't","don't know","did to","and i lie","i lie and","lie and i","ooh ooh ooh","i don't know","da ba da","ba da ba","yeah you kno","you kno kno","kno kno kno",102,26,20,85,0,69,8,29,23,5,32,0,19,1971.8951486697968,mid2000s,top20
"Don't Look Back",262.0,0.2824427480916031,"baby","don't","look","i","back","you","it","good","and","gonna","baby baby","baby don't","don't look","look back","you wanna","i'm gonna","back it","it won't","won't do","do no","baby baby don't","baby don't look","don't look back","look back it","back it won't","it won't do","won't do no","do no good","no good baby","good baby baby",70,9,16,31,0,53,3,20,28,3,29,0,0,1973.5590984594342,late1980s,top20
"Don't Look Down - The Sequel",184.0,0.4945652173913043,"don't","you","look","down","the","your","girl","to","on","try","don't look","look down","down girl","try to","to hide","hide your","your fear","fear of","of falling","falling keep","don't look down","look down girl","try to hide","to hide your","hide your fear","your fear of","fear of falling","of falling keep","falling keep your","keep your eyes",50,1,3,25,1,45,5,18,16,0,16,0,4,1973.3479237177817,late1980s,top40
"Don't Lose My Number",325.0,0.30153846153846153,"you","billy","don't","i","find","him","my","you're","that","oh","that i","billy billy","billy don't","don't you","you lose","lose my","my number","number 'cause","'cause you're","you're not","billy billy don't","billy don't you","don't you lose","you lose my","lose my number","my number 'cause","number 'cause you're","'cause you're not","you're not anywhere","not anywhere that",71,4,9,66,0,54,4,26,43,10,35,0,3,1976.8798467233873,mid1980s,top10
"Don't Make Me Over",231.0,0.2727272727272727,"don't","me","you","i","make","over","that","now","for","do","don't make","make me","don't don't","me over","you don't","now that","over now","me don't","accept me","me for","don't make me","make me over","don't don't don't","me over now","over now that","you don't make","don't don't make","make me don't","accept me for","i need you",46,4,3,62,1,49,0,37,15,0,8,0,6,1989.6721545242417,late1980s,top20
"Don't Make Me Wait For Love",149.0,0.5100671140939598,"me","love","for","a","this","to","make","wait","don't","time","don't make","make me","me wait","wait for","for love","love this","this time","a love","love like","like this","don't make me","make me wait","me wait for","wait for love","for love this","love this time","a love like","love like this","like this is","this is hard",38,6,7,18,0,32,6,14,9,0,18,0,1,1993.5974606464988,late1980s,top20
"Don't Make Me Wait For Love",149.0,0.5100671140939598,"me","love","for","a","this","to","make","wait","don't","time","don't make","make me","me wait","wait for","for love","love this","this time","a love","love like","like this","don't make me","make me wait","me wait for","wait for love","for love this","love this time","a love like","love like this","like this is","this is hard",38,6,7,18,0,32,6,14,9,0,18,0,1,1997.5233717467306,late1980s,top20
"Don't Matter",586.0,0.2150170648464164,"you","fight","i","gon","we","'cause","got","to","wanna","babe","we gon","gon fight","'cause i","i got","got you","you babe","nobody wanna","wanna see","see us","us together","we gon fight","'cause i got","i got you","got you babe","nobody wanna see","wanna see us","see us together","us together but","together but it","but it don't",138,25,12,122,0,146,20,39,37,5,40,0,2,1984.8235635519443,late2000s,top10
"Don't Mean Nothing",355.0,0.39154929577464787,"don't","no","mean","you","the","nothin","it","that","to","a","don't mean","mean nothin","it don't","mean nothing","nothing don't","no don't","nothin the","the words","words that","that they","don't mean nothin","it don't mean","don't mean nothing","mean nothing don't","nothing don't mean","no don't mean","words that they","that they say","they say no","mean nothin these",72,11,20,42,1,74,7,35,41,1,47,0,4,1985.3711682122614,late1980s,top10
"Don't Mess With My Man",301.0,0.4850498338870432,"the","my","in","i","to","of","me","a","i'm","soul","of my","the one","me in","withering soul","i strain","strain to","again the","one that","that i","i was","i strain to","again the one","the one that","one that i","that i was","gemini mind the","my gemini mind","to become again","become again the","plug me in",46,1,21,44,1,85,11,38,14,0,38,0,2,1993.8675241157557,early2000s,top10
"Don't Need A Gun",255.0,0.4235294117647059,"a","need","you","i","don't","gun","yeah","to","red","bop","need a","don't need","a gun","i don't","yes a","just need","you will","will always","always be","movin movin","don't need a","need a gun","i don't need","you will always","will always be","bop a lu","a lu bop","lu bop son","bop son you","son you gotta",54,2,15,25,0,77,5,16,16,3,35,2,5,1994.89956626506,late1980s,top40
"Don't Pay The Ferryman",225.0,0.4888888888888889,"the","don't","and","pay","do","a","on","you","ferryman","he","the ferryman","don't pay","don't do","do it!","on the","- don't","pay the","in the","he gets","there's the","- don't do","don't do it!","don't pay the","pay the ferryman","and then the","you must pay","must pay me","pay me now","me now","now  -",39,10,12,16,0,51,3,24,24,0,44,0,2,1995.7692431200028,early1980s,top40
"Don't Phunk With My Heart",442.0,0.2828054298642534,"you","i","no","baby","love","in","me","that","that-tha","don't","no no","in love","that-tha that","love baby","tha that-tha","that girl","that tha","i wonder","wonder if","if i","in love baby","no no no","that tha that-tha","tha that-tha that","that-tha that girl","that-tha that tha","i wonder if","wonder if i","if i take","i take you",73,6,24,92,0,95,1,61,33,0,50,0,7,2004.9410559344285,mid2000s,top10
"Don't Push It, Don't Force It",461.0,0.14967462039045554,"it","don't","happen","to","will","be","push","force","if","was","don't push","push it","don't force","force it","it don't","happen naturally","it will","will surely","was meant","meant to","don't push it","don't force it","meant to be","push it don't","it don't force","force it let","it let it","let it happen","it happen naturally","happen naturally it",156,1,7,85,0,53,23,31,68,0,35,0,2,2002.9123826553418,early1980s,top50
"Don't Rush Me",277.0,0.3176895306859206,"don't","rush","me","so","to","i've","that","love","made","mistake","don't rush","rush me","me i've","i've made","made that","that mistake","mistake before","before oh","me this","this love","don't rush me","rush me i've","me i've made","i've made that","made that mistake","that mistake before","mistake before oh","rush me this","me this love","this love could",61,5,10,29,0,59,8,23,31,8,40,0,3,2011.347593071107,late1980s,top10
"Don't Say Goodbye",483.0,0.2587991718426501,"don't","say","you","goodbye","the","be","i","of","we'll","i'll","don't say","say goodbye","goodbye don't","where you","you are","goodbye 'cause","we'll be","are don't","have to","of the","don't say goodbye","say goodbye don't","say goodbye 'cause","where you are","are don't say","you are don't","goodbye don't turn","don't turn away","turn away it","away it doesn't",112,5,7,68,0,100,8,39,61,24,49,3,7,2016.2394079261499,early2000s,top50
"Don't Say Goodnight",271.0,0.1992619926199262,"say","hey","don't","you","goodnight","love","i","ever","know","when","say goodnight","don't say","hey hey","when you","you know","goodnight don't","know i","i gotta","gotta have","have your","don't say goodnight","hey hey hey","when you know","say goodnight don't","you know i","know i gotta","i gotta have","gotta have your","have your love","goodnight don't say",68,10,14,34,0,68,1,13,20,7,27,0,9,2016.9278832395305,early1980s,top40
"Don't Say You Love Me",380.0,0.2631578947368421,"me","you","don't","give","say","not","some","time","love","baby","give me","don't say","me some","some time","time don't","say you","you love","love me","me you","you don't","give me some","me some time","some time don't","don't say you","say you love","you love me","love me you","me you don't","you don't even","don't even know",114,1,13,68,0,58,5,26,50,1,40,0,4,2030.8763207158042,early2000s,top30
"Don't Shed A Tear",189.0,0.3544973544973545,"you","a","the","will","without","i","what","don't","for","are","without you","you are","don't shed","what you","is what","shed a","a tear","tear for","for me","me my","is what you","what you are","don't shed a","shed a tear","a tear for","tear for me","for me my","me my life","my life won't","life won't end",45,2,4,35,0,31,2,24,10,2,28,0,6,2032.517748478702,late1980s,top10
"Don't Shut Me Out",399.0,0.24561403508771928,"me","don't","you","that","shut","i","out","baby","love","tell","don't shut","shut me","me out","tell me","i love","me that","you know","ya like","love ya","out d-d-don't","don't shut me","shut me out","i love ya","love ya like","me out d-d-don't","out d-d-don't don't","d-d-don't don't tell","don't tell me","tell me that","none of my",99,4,17,91,0,86,8,41,9,7,28,0,9,2051.5673924722687,late1980s,top20
"Don't Stand So Close To Me",18.0,1.0,"our","agreement","does","not","allow","us","to","display","these","lyrics","out our","licensing agreement","agreement does","does not","not allow","allow us","us to","to display","display these","these lyrics","me out our","our licensing agreement","licensing agreement does","agreement does not","does not allow","not allow us","allow us to","us to display","to display these","display these lyrics",4,0,0,2,0,5,1,2,1,0,3,0,0,2051.1155632801388,early1980s,top10
"Don't Stand So Close To Me '86",18.0,1.0,"our","agreement","does","not","allow","us","to","display","these","lyrics","inconvenience our","licensing agreement","agreement does","does not","not allow","allow us","us to","to display","display these","these lyrics","the inconvenience our","our licensing agreement","licensing agreement does","agreement does not","does not allow","not allow us","allow us to","us to display","to display these","display these lyrics",4,0,0,2,0,5,1,2,1,0,3,0,0,2050.6637279994943,mid1980s,top50
"Don't Stop",397.0,0.24433249370277077,"you","it","know","and","don’t","stop","that","i","the","","know it","it know","you know","don’t stop","know that","and you","like it","you got","that i","i like","know it know","it know it","you know that","and you know","you know it","know that i","that i like","i like it","every time you","cause you know",98,20,17,108,0,50,8,38,13,4,34,0,7,2053.3496457250826,mid2010s,top50
"Don't Stop",258.0,0.29457364341085274,"stop","don't","baby","crazy","gone","i","you","the","never","","don't stop","gone crazy","baby don't","stop when","when the","the love's","love's gone","crazy never","never thought","thought i'd","baby don't stop","don't stop when","stop when the","when the love's","the love's gone","love's gone crazy","gone crazy never","crazy never thought","never thought i'd","thought i'd ever",65,7,32,27,0,56,0,6,26,3,30,1,5,2054.292052104965,mid1980s,top50
"Don't Stop Believin'",207.0,0.4830917874396135,"the","and","on","a","in","to","just","night","da","rachel:","on and","and on","the night","in the","streetlight people","da da","goin anywhere","in a","just a","took the","on and on","and on and","in the night","midnight train goin","train goin anywhere","da da da","took the midnight","the midnight train","it goes on","goes on and",27,12,4,8,1,70,7,26,16,0,36,0,0,2054.5167977351366,late2000s,top10
"Don't Stop Believin'",188.0,0.4734042553191489,"the","on","and","a","in","to","just","night","streetlight","people","on and","and on","the night","streetlight people","in the","don't stop","stop believin","believin hold","hold on","the midnight","on and on","and on and","in the night","don't stop believin","stop believin hold","believin hold on","midnight train goin","it goes on","goes on and","and on strangers",33,10,5,8,1,60,7,25,11,0,28,0,0,2054.741556072709,early1980s,top10
"Don't Stop The Music",18.0,1.0,"our","agreement","does","not","allow","us","to","display","these","lyrics","people our","licensing agreement","agreement does","does not","not allow","allow us","us to","to display","display these","these lyrics","streetlight people our","our licensing agreement","licensing agreement does","agreement does not","does not allow","not allow us","allow us to","us to display","to display these","display these lyrics",4,0,0,2,0,5,1,2,1,0,3,0,0,2054.2902515723267,late2000s,top10
"Don't Stop The Music",326.0,0.24846625766871167,"don't","stop","you","wanna","the","i","music","just","it","rock","don't you","don't stop","you stop","stop the","the music","i just","just wanna","wanna rock","stop don't","all night","don't you stop","don't stop the","stop the music","i just wanna","just wanna rock","stop don't stop","all night long","you stop it","you don't really","don't really wanna",90,3,11,54,3,68,5,24,40,1,27,0,0,2056.8443523576316,early1980s,top20
"Don't Stop The Party",263.0,0.49809885931558934,"ah","the","","you","me","don't","give","it","to","now","give it","it to","ah ah","you don't","zig-a zig-a","the world","don't get","stop the","the party","i'mma give","give it to","stop the party","you don't get","i'mma give it","it to ya","to ya ah","ya ah ah","ah ah now","ah now give","now give it",51,5,10,34,3,63,6,23,21,6,32,0,9,2059.1951831409933,early2010s,top20
"Don't Take It Personal (Just One Of Dem Days)",418.0,0.22488038277511962,"you","i","baby","personal","just","it","don't","take","one","of","take it","just one","one of","of dem","dem days","don't take","it personal","personal baby","baby baby","baby personal","just one of","one of dem","of dem days","don't take it","take it personal","personal baby personal","baby personal baby","baby baby baby","be all alone","wanna be all",78,12,27,69,14,80,11,42,47,2,29,0,7,2060.7804236943393,mid1990s,top10
"Don't Take The Girl",275.0,0.509090909090909,"take","the","and","my","her","girl","a","to","you","don't","take the","take my","and johnny","please don't","don't take","the girl","here's the","said take","johnny said","girl same","please don't take","don't take the","take the girl","johnny said take","and johnny said","the girl same","girl same old","same old boy","old boy same","boy same sweet",55,11,20,38,5,75,5,22,10,0,31,0,3,2066.107329270198,mid1990s,top20
"Don't Take Your Love Away",456.0,0.3157894736842105,"i","your","don't","love","take","away","baby","you","and","the","don't take","take your","your love","love away","i wanna","away don't","away baby","baby don't","away from","from me","don't take your","take your love","your love away","love away don't","away don't take","love away baby","baby don't take","away baby don't","love away from","away from me",105,15,20,92,5,96,8,35,48,1,29,0,2,2070.323183843924,mid2000s,top40
"Don't Talk To Strangers",320.0,0.371875,"don't","talk","you","to","strangers","baby","nobody","only","i","i'm","don't talk","talk to","talk don't","to strangers","don't you","strangers baby","baby don't","you talk","to him","strangers you","talk don't talk","don't talk to","talk to strangers","don't talk don't","to strangers baby","strangers baby don't","baby don't you","don't you talk","you talk don't","talk to him",73,3,12,40,0,101,20,21,19,0,24,2,5,2072.577520465652,early1980s,top10
"Don't Tell 'Em",712.0,0.25280898876404495,"tell","'em","you","don't","even","ain't","i","right","the","a","tell 'em","don't tell","'em don't","you ain't","ain't even","'em you","right right","why why","even don't","even you","don't tell 'em","tell 'em don't","'em don't tell","you ain't even","tell 'em you","'em you ain't","right right right","ain't even don't","even don't tell","ain't even you",192,8,23,152,2,111,4,61,65,3,80,0,11,2073.2747297004244,mid2010s,top10
"Don't Tell Me",341.0,0.3343108504398827,"you","to","that","i","me","was","did","my","it","tell","i was","did you","think that","you think","that i","was gonna","don't try","try to","to tell","tell me","did you think","you think that","think that i","that i was","i was gonna","don't try to","try to tell","to tell me","tell me what","me what to",95,8,10,71,0,47,20,30,17,3,30,0,10,2083.094775888717,mid2000s,top30
"Don't Tell Me",241.0,0.2946058091286307,"tell","me","to","don't","not","the","ever","but","you","stop","tell me","not to","ever tell","tell the","to stop","me to","but don't","don't you","you ever","please don't","ever tell me","tell me to","me to stop","don't you ever","don't tell me","don't ever tell","love isn't true","isn't true it's","true it's just","it's just something",60,6,6,35,0,31,17,16,41,0,27,0,2,2090.933024548402,early2000s,top10
"Don't Tell Me Lies",153.0,0.5163398692810458,"don't","me","tell","lies","i","this","never","my","now","your","don't tell","tell me","me lies","lies don't","don't don't","my own","this in","in your","your eyes","eyes they'll","don't tell me","tell me lies","me lies don't","lies don't tell","see this in","this in your","in your eyes","your eyes they'll","eyes they'll never","they'll never ever",46,1,6,29,2,19,0,13,19,0,14,0,4,2098.828438329117,late1980s,top10
"Don't Tell Me You Love Me",255.0,0.18823529411764706,"me","don't","you","love","tell","the","i","way","to","want","don't tell","tell me","love me","me you","you love","me don't","the way","me i","i don't","don't want","don't tell me","tell me you","me you love","you love me","love me don't","me don't tell","tell me i","me i don't","i don't want","don't want to",90,3,1,86,1,24,8,12,6,9,15,0,0,2123.4281538461537,early1980s,top40
"Don't Think I Don't Think About It",281.0,0.30604982206405695,"don't","i","think","and","the","it","about","been","know","what","don't think","think i","i don't","it don't","think about","about it","and the","i know","know what","what i","don't think i","think i don't","i don't think","don't think about","think about it","i know what","know what i","about it don't","it don't think","but don't think",75,18,2,56,0,40,3,19,32,1,28,0,7,2121.7879346357045,late2000s,top40
"Don't Think I'm Not",479.0,0.21294363256784968,"don't","i'm","when","you're","think","not","out","in","getting","the","when you're","don't think","think i'm","i'm not","you're out","out in","in the","the club","club don't","not even","don't think i'm","think i'm not","when you're out","you're out in","out in the","in the club","the club don't","club don't think","i'm not even","not even when",98,5,34,94,1,41,4,26,89,1,57,0,29,2126.205329249617,early2000s,top30
"Don't Treat Me Bad",214.0,0.4439252336448598,"i","the","me","it","treat","and","you","all","oh","to","treat me","don't treat","me bad","i've been","i can't","can't take","take anymore","it all","baby don't","oh girl","don't treat me","treat me bad","i can't take","can't take anymore","baby don't treat","oh girl i","girl i can't","but i won't","i won't cry","won't cry no",48,9,12,32,0,33,5,19,21,2,32,0,1,2129.0480998714893,early1990s,top20
"Don't Trust Me",442.0,0.27601809954751133,"ooh","trust","woo","ho","me","the","a","to","she","wants","woo ooh","me woo","trust a","a ho","she wants","wants to","ooh ooh","ho won't","won't trust","to touch","me woo ooh","trust a ho","she wants to","ho won't trust","wants to touch","to touch me","touch me woo","woo ooh she","ooh she wants","wants to love",94,9,35,60,0,108,14,25,39,0,56,0,2,2134.005650235172,late2000s,top10
"Don't Trust Me",442.0,0.27601809954751133,"ooh","trust","woo","ho","me","the","a","to","she","wants","woo ooh","me woo","trust a","a ho","she wants","wants to","ooh ooh","ho won't","won't trust","to touch","me woo ooh","trust a ho","she wants to","ho won't trust","wants to touch","to touch me","touch me woo","woo ooh she","ooh she wants","wants to love",94,9,35,60,0,108,14,25,39,0,56,0,2,2138.9595756356316,late2000s,top50
"Don't Turn Around",341.0,0.2932551319648094,"oh","you","don't","i","me","around","turn","that","i'm","go","oh oh","turn around","don't turn","i won't","i'm gonna","just walk","walk away","it's tearing","tearing me","me apart","oh oh oh","don't turn around","just walk away","it's tearing me","tearing me apart","me apart that","apart that you're","that you're leaving","you're leaving i'm","leaving i'm letting",102,7,10,64,0,54,4,36,33,7,22,0,2,2147.080143613461,mid1990s,top10
"Don't Wake Me Up",170.0,0.4117647058823529,"up","me","wake","don’t","","fall","i","this","the","my","up up","wake me","don’t wake","me up","up don’t","fall fall","yeah don’t","much light","light in","inside my","up up up","don’t wake me","wake me up","up don’t wake","me up up","up up don’t","me up don’t","me up yeah","up yeah don’t","yeah don’t wake",39,1,4,26,0,36,1,12,25,2,23,0,1,2156.528395962544,early2010s,top10
"Don't Walk Away",306.0,0.3006535947712418,"you","i","don't","for","my","love","walk","away","boy","be","don't walk","walk away","away boy","there for","my love","for you","you don't","boy i'll","i'll be","be right","don't walk away","walk away boy","you don't walk","away boy i'll","boy i'll be","i'll be right","be right there","right there for","there for you","love don't walk",78,4,7,60,0,56,6,26,37,1,27,0,4,2163.674374848264,early1990s,top10
"Don't Walk Away",311.0,0.3215434083601286,"to","don't","you","walk","away","a","make","your","i","is","don't walk","walk away","to make","make you","i've got","away or","or are","are you","you looking","looking for","don't walk away","walk away or","away or are","or are you","are you looking","you looking for","looking for a","for a price","a price to","price to pay",78,7,9,38,1,72,21,25,36,0,19,0,5,2164.6595938163077,mid1980s,top30
"Don't Wanna Be A Player",399.0,0.2756892230576441,"i","a","be","don't","wanna","player","life","no","for","my","don't wanna","wanna be","be a","a player","my life","no more","player no","i think","think i","i found","don't wanna be","wanna be a","be a player","a player no","player no more","i think i","think i found","i found someone","found someone i","someone i could",81,3,14,59,6,104,13,39,18,0,61,0,1,2169.8156676450117,late1990s,top30
"Don't Wanna Fall In Love",263.0,0.3155893536121673,"you","no","the","love","knife","to","i","baby","don't","in","i don't","don't wanna","wanna fall","fall in","in love","love no","no no","no love","love cuts","cuts just","i don't wanna","don't wanna fall","wanna fall in","fall in love","in love no","love no no","no no love","no love cuts","love cuts just","cuts just like",46,4,9,38,1,82,10,22,14,0,35,0,2,2172.792939825309,early1990s,top10
"Don't Wanna Go Home",238.0,0.5546218487394958,"the","we","oh","","my","it","shot","is","on","and","oh oh","on the","shot shot","too long","is it","the club","that's my","to the","dayo me","me say","that's my song","much too long","oh oh oh","dayo me say","me say dayo","say dayo daylight","dayo daylight come","daylight come and","come and we","and we don't",47,7,9,29,4,57,4,20,15,10,32,0,4,2174.868462374683,early2010s,top20
"Don't Wanna Lose You",227.0,0.4008810572687225,"i","you","to","lose","don't","wanna","the","and","now","forever","lose you","i don't","don't wanna","wanna lose","you now","i know","and i","me to","you want","now we're","i don't wanna","don't wanna lose","wanna lose you","lose you now","you now we're","now we're gonna","we're gonna get","gonna get through","get through somehow","through somehow i",70,9,5,49,0,25,10,16,25,0,13,0,5,2177.5131614654,late1980s,top10
"Don't Wanna Lose You",355.0,0.3408450704225352,"you","don't","i","lose","to","now","me","wanna","hold","girl","don't wanna","lose you","hold on","i don't","wanna lose","you now","girl i","say goodbye","baby don't","you know","don't wanna lose","wanna lose you","i don't wanna","lose you now","baby don't go","tell me now","girl i don't","before we lose","we lose forever","lose forever girl",107,4,13,72,0,49,14,24,39,9,20,0,4,2182.1272678039536,mid1990s,top40
"Don't Wanna Try",437.0,0.41189931350114417,"no","try","wanna","don't","ya","es","igual","que","you","more","don't wanna","wanna try","try don't","ya no","no es","es igual","igual ya","try no","no more","more don't","don't wanna try","wanna try don't","try don't wanna","ya no es","no es igual","es igual ya","igual ya no","try no more","wanna try no","no more don't",109,6,20,43,2,117,6,22,35,4,54,13,6,2182.8881310096153,early2000s,top20
"Don't Want To Be A Fool",300.0,0.4066666666666667,"i","be","a","the","don't","fool","never","again","no","love","be a","a fool","i don't","don't wanna","wanna be","till the","the end","end i","no way","i can't","be a fool","don't wanna be","wanna be a","till the end","the end i","me again so","again so i'll","end i just","i just don't","just don't wanna",60,3,8,38,2,59,7,26,44,1,49,0,3,2185.3727714748784,early1990s,top10
"Don't Want To Wait Anymore",253.0,0.3201581027667984,"i","to","don't","the","wait","strength","want","anymore","just","have","to wait","the strength","i don't","don't want","want to","wait anymore","i just","just don't","don't think","think i","i don't want","don't want to","want to wait","to wait anymore","i just don't","just don't think","don't think i","think i have","i have the","have the strength",64,5,8,37,1,32,18,15,41,0,26,0,6,2184.722890121421,early1980s,top40
"Don't Waste Your Time",418.0,0.1722488038277512,"she","you","don't","me","i","love","waste","your","time","and","she don't","don't love","love you","don't waste","waste your","your time","you she","are you","you sure","that she","she don't love","don't love you","don't waste your","waste your time","are you sure","you are you","love you are","she ain't no","ain't no good","you sure she",100,14,18,139,1,68,5,25,29,1,17,0,1,2194.1107063951754,mid1980s,top50
"Don't Worry, Be Happy",272.0,0.3235294117647059,"worry","happy","be","don't","oo-oo-oo","you","oo","oo-oo-oo-oo-oo-oo","oo-oo-oo-oo-oo-oo-oo","oo-oo-oo-oo-oo","be happy","don't worry","worry be","oo oo-oo-oo","oo-oo-oo oo-oo-oo","oo-oo-oo oo-oo-oo-oo-oo-oo","oo-oo-oo-oo-oo-oo don't","worry oo-oo-oo-oo-oo-oo-oo","oo-oo-oo-oo-oo-oo-oo be","happy oo-oo-oo-oo-oo","don't worry be","worry be happy","oo oo-oo-oo oo-oo-oo","oo-oo-oo oo-oo-oo oo-oo-oo-oo-oo-oo","oo-oo-oo oo-oo-oo-oo-oo-oo don't","oo-oo-oo-oo-oo-oo don't worry","don't worry oo-oo-oo-oo-oo-oo-oo","worry oo-oo-oo-oo-oo-oo-oo be","oo-oo-oo-oo-oo-oo-oo be happy","be happy oo-oo-oo-oo-oo",71,3,40,29,0,68,5,14,10,0,27,0,5,2193.912239358053,late1980s,top10
"Don't Ya",177.0,0.559322033898305,"you","ya","i","don't","know","","me","to","like","that","you didn't","don't even","even try","you move","get to","know ya","want ya","ya know","baby don't","don't ya","don't even try","you didn't mean","didn't mean to","you cut those","cut those jeans","those jeans just","jeans just right","just right i","right i know","i know you",46,3,6,40,0,26,5,15,15,3,14,0,4,2197.078330304204,early2010s,top30
"Don't You (Forget About Me)",248.0,0.4032258064516129,"you","don't","hey","me","my","will","down","walk","on","about","don't don't","will you","don't you","hey hey","you walk","call my","about me","down down","you forget","forget about","don't don't don't","don't you forget","you forget about","forget about me","hey hey hey","rain keeps falling","you walk on","walk on by","you call my","will you call",60,8,5,50,0,45,2,29,13,6,27,0,3,2205.76562639455,mid1980s,top10
"Don't You Forget It",375.0,0.28,"you","don't","your","forget","to","and","that","on","it","hold","don't you","you forget","hold on","forget it","your way","and don't","it don't","forget your","way home","home for","don't you forget","you forget it","and don't you","forget it don't","it don't you","you forget your","forget your way","your way home","way home for","home for that",87,17,22,70,0,76,16,35,11,0,25,8,8,2205.5698126651428,early2000s,top30
"Don't You Get So Mad",291.0,0.3642611683848797,"you","so","mad","get","don't","about","it","baby","to","oh","so mad","get so","mad about","about it","don't you","you get","it don't","it baby","baby oh","oh don't","get so mad","so mad about","mad about it","don't you get","you get so","about it don't","it don't you","about it baby","no need to","baby don't you",69,2,33,54,0,29,6,31,35,7,23,0,2,2206.780685893826,early1980s,top30
"Don't You Know What The Night Can Do?",361.0,0.25761772853185594,"the","you","night","know","what","can","do?","don't","when","let","the night","know what","what the","night can","can do?","don't you","you know","do? don't","do? know","when it's","know what the","what the night","the night can","night can do?","don't you know","you know what","can do? don't","do? don't you","can do? know","do? know what",104,3,3,51,0,55,5,13,24,0,72,0,31,2207.9278738013495,late1980s,top10
"Don't You Wanna Play This Game No More",290.0,0.3103448275862069,"you","don't","wanna","play","no","more","this","game","the","it","don't you","you wanna","wanna play","no more","more don't","play this","this game","play no","game no","you've got","don't you wanna","you wanna play","no more don't","more don't you","wanna play this","play this game","wanna play no","play no more","this game no","game no more",76,7,24,42,0,43,2,26,28,0,40,0,2,2208.9929057049953,early1980s,top40
